UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1978193004194465241300000000,12.0,36,13.575079769556464,49.57507976955647,37.520923676083186,126.921651570118
1980193251994464611000000000,12.0,36,14.402249411125577,50.40224941112558,37.52035764003012,126.92445535779075
2007193251274476080300000000,10.0,35,14.095415996297524,49.095415996297525,37.53069144856553,126.92443650022612
1992192877694464228400000000,2.0,6,14.595176011975251,20.59517601197525,37.52001006256403,126.92022158212465
0000193224614464002600000000,2.0,6,14.503789300799045,20.503789300799045,37.51980932315741,126.9241460968057
1993192830774474481800000000,11.0,39,14.18052477706589,53.18052477706589,37.52924799423644,126.91968078017503
2010194146094461581400000000,5.0,21,15.230611502924848,36.230611502924845,37.51763419979979,126.93457170190483
1983193264774467008500000000,20.0,78,13.274690846924488,91.27469084692449,37.52251785965274,126.92459769094421
0000194582074465419200000000,13.0,39,15.000000000000002,54.0,37.521094713562896,126.93950043552475
1979193892784461803000000000,2.0,6,14.568514365511337,20.568514365511337,37.51783221019167,126.93170621721909
2005193470884466359300000000,15.0,58,13.710528783664138,71.71052878366413,37.521934507006286,126.92692982914303
1984193579744466252900000000,14.0,42,13.448968654610743,55.448968654610745,37.52183938959433,126.92816132153021
1978193002414463853800000000,14.0,42,14.614155007686017,56.614155007686016,37.51967356451761,126.92163275810738
1978193076204464424600000000,14.0,42,14.209741427519079,56.20974142751908,37.5201883884035,126.92246691137252
1994193020644467169200000000,23.0,110,12.476995331597625,122.47699533159762,37.52266082794392,126.92183582790787
1985193026944474298000000000,11.0,33,13.259677216933728,46.259677216933724,37.529083931126515,126.9219002970806
1978192941824466042300000000,12.0,36,12.962440831985289,48.96244083198529,37.52164487831481,126.92094531719427
1981193229894474804700000000,8.0,24,12.942564813091169,36.94256481309117,37.52954198547053,126.92419579173315
1992193524534464619200000000,14.0,58,13.857399650309349,71.85739965030935,37.52036700145105,126.9275382840775
1971194381524464055500000000,13.0,39,14.565324965406734,53.56532496540673,37.519864839881905,126.93723292478303
1983193680754464703400000000,10.0,40,13.122936871501524,53.12293687150152,37.52044394832065,126.92930535170417
1978193857944465179700000000,12.0,36,13.648559618453563,49.64855961845356,37.52087435648915,126.93130931976134
1995193229584469587900000000,30.0,134,13.650668947475886,147.65066894747588,37.524841659053955,126.92419719819553
1984193473174465052900000000,14.0,42,14.081207236778448,56.08120723677845,37.520757432112454,126.92695683824543
1993193355854467595600000000,20.0,76,13.286580378744816,89.28658037874482,37.52304750956551,126.92562744260478
1988192848854474614600000000,13.0,39,14.100906122528702,53.1009061225287,37.5293677669519,126.91988523684364
2019193260794475027700000000,16.0,52,12.849021148002393,64.8490211480024,37.52974311365392,126.92454518927069
1984193803214465870200000000,21.0,63,13.668640909466388,76.66864090946639,37.52149614173153,126.9306895879449
2018193856144462193500000000,23.0,81,14.120003822812016,95.12000382281201,37.51818376804754,126.93129140997114
2018192923054473418000000000,12.0,42,12.891047091679463,54.89104709167946,37.5282902036349,126.92072569291817
2014192614314472438700000000,12.0,41,13.162969724621808,54.16296972462181,37.527405359885826,126.91723387915027
1976194237524461784100000000,8.0,32,15.149013286273686,47.149013286273686,37.51781741317736,126.9356057752679
1999193617124463351000000000,14.0,51,14.39893425348438,65.39893425348438,37.51922500347279,126.92858678088648
1984192585624472956700000000,11.0,40,12.927889990771515,52.92788999077152,37.527871957592126,126.91690883980952
1999192865594473392700000000,13.0,39,13.31101624770005,52.31101624770005,37.528266993888394,126.92007576949457
2005192971714474830500000000,13.0,38,14.029069945325128,52.029069945325126,37.529563253214306,126.92127490472708
1976193847354467730300000000,15.0,45,13.867328920601445,58.867328920601445,37.52317230217371,126.93118728734126
1978194089504467845000000000,14.0,42,14.239649296293784,56.239649296293784,37.52327731945594,126.93392650578122
1976193780584467978200000000,15.0,45,13.675090357618606,58.67509035761861,37.52339525220577,126.93043180217371
1975193962454466587500000000,12.0,36,14.025085372088475,50.025085372088476,37.52214341829535,126.93249033647166
1975193923874466159200000000,12.0,36,13.92541927305511,49.92541927305511,37.521757326252455,126.93205425627087
1975193883814465980900000000,12.0,36,13.853821209693187,49.85382120969319,37.52159636015702,126.93160130740871
1974194152424464179900000000,12.0,36,14.285692273001125,50.285692273001125,37.51997546469931,126.93464130488924
1974194071864463564400000000,12.0,36,14.096592495461412,50.09659249546141,37.519420410368625,126.93373044131874
1975194047204465501100000000,12.0,36,13.98536363089019,49.98536363089019,37.52116515453508,126.93344997033573
1979194084494465971000000000,12.0,36,14.087075069853265,50.08707506985326,37.52158875596335,126.93387133652264
1974194213404462571600000000,12.0,36,14.781406422268468,50.78140642226847,37.51852680116494,126.9353323099014
1971194310964465859200000000,12.0,36,14.278013489692436,50.278013489692434,37.52148947646337,126.93643333217422
1971194439194465100300000000,12.0,36,14.157156543267005,50.15715654326701,37.52080652642884,126.93788444458328
2017193571634463913800000000,15.0,66,14.091226337634849,80.09122633763485,37.51973171829399,126.92807158421994
2017192691634471440500000000,13.0,42,14.12274357111591,56.12274357111591,37.52650668311354,126.91810960153451
1998193551214462896000000000,23.0,106,14.949258918332168,120.94925891833216,37.51881457903035,126.92784154166684
2016192822764475645900000000,13.0,41,14.297661092731039,55.29766109273104,37.53029677804274,126.91958900692987
1981193742974464990100000000,10.0,30,13.320597272745772,43.32059727274577,37.52070271938807,126.9300089421248
1991193747604466450200000000,18.0,78,13.732256483764889,91.73225648376489,37.522018289165146,126.9300600796344
2015193807604462125400000000,4.0,21,13.78751879282883,34.787518792828834,37.51812202835877,126.93074240440349
1982193849764463916000000000,12.0,36,13.34105160037055,49.34105160037055,37.519735688641674,126.93121776407098
1985193707294463504200000000,10.0,33,13.308474547143245,46.30847454714325,37.51936362157846,126.92960656620058
2013193002254476076200000000,13.0,54,14.780909467595572,68.78090946759558,37.53068579611109,126.9216192451626
1979193572284467480300000000,21.0,103,13.304294551446826,116.30429455144683,37.52294522430291,126.92807581097598
2012193330604469320900000000,56.0,284,13.396092112527882,297.39609211252787,37.52460187186783,126.92534017605878
2012193350124470441200000000,29.0,175,13.155828946522302,188.1558289465223,37.525611399235125,126.92556000846126
2012193448684470183500000000,38.0,199,13.130331222862047,212.13033122286205,37.52537992189896,126.9266752622521
2007193370524475094000000000,13.0,51,13.134020187248158,64.13402018724815,37.52980358072497,126.92578654484551
2012193670934467774300000000,4.0,14,13.429797027602683,27.42979702760268,37.523210775855844,126.92919159030065
2012193395024470789900000000,32.0,184,13.129825696176932,197.12982569617694,37.52592582985535,126.92606769691385
2003192919104475542700000000,10.0,32,14.286986779757388,46.286986779757385,37.530204504903736,126.92067903128223
1995193233294475819700000000,11.0,39,13.152323023911217,52.152323023911215,37.53045643617968,126.9242332658166
1985193160404473802000000000,10.0,41,12.731030785924208,53.731030785924204,37.528637968768635,126.92341056466812
2021192565494472431700000000,14.0,42,12.551783989716535,54.55178398971653,37.52739868632152,126.91668160941947
1975193975704468290200000000,15.0,45,14.358657677188518,59.35865767718852,37.52367767620172,126.93263880032805
1980193020774463479400000000,3.0,9,14.92388769048301,23.92388769048301,37.51933633964722,126.92184089360052
1971194347894465392500000000,12.0,36,14.30017385086844,50.30017385086844,37.521069237795054,126.9368514264747
1971194447944466722800000000,12.0,36,14.907148706932599,50.9071487069326,37.522268423533326,126.93798220659242
0000194353794466185300000000,2.0,6,14.150535312040756,20.150535312040756,37.521783587590896,126.9369175783818
1971194395334466527000000000,12.0,36,14.4860322910747,50.4860322910747,37.52209167274513,126.93738718210263
1971194242304464995200000000,12.0,36,14.591033814206785,50.59103381420678,37.52071062404431,126.93565730153749
1971194306574463288000000000,2.0,6,14.837465489777866,20.837465489777866,37.51917281477484,126.93638563869452
1971194184684464850000000000,2.0,6,14.390645729308057,20.390645729308055,37.520579452995015,126.93500562785458
1971194347794463625800000000,12.0,36,14.775031137120381,50.77503113712038,37.51947743132699,126.9368516981753
1971194353324464429700000000,12.0,36,14.543638817429958,50.54363881742996,37.52020179509714,126.93691356587755
1974194120234463548900000000,12.0,36,14.20100240027303,50.201002400273026,37.51940675038854,126.93427764170968
1977194197934466277200000000,10.0,30,14.419624980965281,44.41962498096528,37.52186541771221,126.93515434000307
1977194028554461524200000000,11.0,33,14.983594345642684,47.983594345642686,37.517581837877984,126.93324227628155
1977193982884462826200000000,11.0,33,14.259759034021075,47.25975903402107,37.518754651832964,126.9327245194121
1978193875884463483700000000,5.0,15,13.366172947121216,28.366172947121214,37.51934634636531,126.93151361306185
1977194060484461810200000000,12.0,36,14.909880851700843,50.90988085170084,37.517839741825426,126.9336031540828
0000194337944462288500000000,16.0,60,15.000000000000002,75.0,37.51827248260438,126.93674128629672
1995193602134463612700000000,11.0,44,14.237695574154179,58.23769557415418,37.519460729233046,126.92841696488387
1984194055654462820900000000,7.0,25,14.437964178173205,39.4379641781732,37.518750381600725,126.93354773266392
1980193211684465336900000000,5.0,15,14.040531491493573,29.040531491493574,37.52101138830686,126.92399864512468
1985193687834466045500000000,12.0,36,13.517475178347649,49.51747517834765,37.521653268047466,126.9293842961578
1992192890664474089900000000,12.0,40,13.807790479875552,53.80779047987555,37.5288953203333,126.92035876463734
2008193389134461791000000000,39.0,128,15.0,143.0,37.51781789738226,126.92600918683213
2020193416654466772300000000,33.0,156,13.888434311984694,169.8884343119847,37.522306129164505,126.92631593273181
2003193477814461406300000000,34.0,127,15.0,142.0,37.517471920963345,126.92701257984106
1994193188924469226200000000,19.0,94,13.523838867099226,107.52383886709923,37.524515389947844,126.92373754076573
1986194604584463729600000000,60.0,249,15.0,264.0,37.51957250469343,126.93975634401785
1999192757454467834400000000,1.0,5,12.3879790510254,17.3879790510254,37.52325815107421,126.91885791389295
1996193109364464009900000000,6.0,18,14.522935892091766,32.522935892091766,37.519814988780816,126.92284245148903
2009193239394467528400000000,36.0,154,13.056549111129774,167.05654911112978,37.52298611955306,126.92431007647264
1993193060354466530400000000,20.0,82,12.987090722892312,94.9870907228923,37.52208556703061,126.92228561936209
1998192547434471670000000000,10.0,39,14.332874601811508,53.33287460181151,37.526712330320706,126.91647813208053
2001193662264463163200000000,2.0,9,14.060515377876136,23.060515377876136,37.51905617740374,126.92909755267044
1980193706994462679300000000,10.0,30,14.053145687490659,44.053145687490655,37.51862047831899,126.92960387715164
2003193239944473124000000000,1.0,4,13.393539365568913,17.393539365568913,37.52802772301001,126.92431104152216
1979192845794477320700000000,2.0,8,15.0,23.0,37.53180592728151,126.91984789149525
